,Threshold,out_LR,lost_LR,out_SVC,lost_SVC,out_MLP,lost_MLP,out_MLP_LR,lost_MLP_LR
81,0.405,64.24,2.22,76.93,4.57,76.86,4.88,67.33,2.8
82,0.41000000000000003,64.32,2.24,77.01,4.57,76.91,4.88,67.33,2.8
83,0.41500000000000004,64.51,2.26,77.13,4.61,76.99,4.9,67.37,2.8
84,0.42,64.67,2.26,77.28,4.61,77.11,4.92,67.41,2.8
85,0.425,64.82,2.28,77.3,4.63,77.22,5.01,67.44,2.82
86,0.43,64.9,2.28,77.38,4.67,77.32,5.03,67.46,2.82
87,0.435,65.07,2.28,77.45,4.69,77.38,5.09,67.46,2.82
88,0.44,65.15,2.28,77.51,4.71,77.42,5.09,67.48,2.82
89,0.445,65.23,2.31,77.67,4.74,77.47,5.09,67.5,2.82
90,0.45,65.38,2.31,77.76,4.82,77.55,5.11,67.52,2.82
91,0.455,65.48,2.31,77.88,4.82,77.59,5.13,67.54,2.85
92,0.46,65.5,2.31,78.05,4.94,77.61,5.15,67.54,2.85
93,0.465,65.63,2.35,78.13,4.96,77.63,5.17,67.54,2.85
94,0.47000000000000003,65.73,2.37,78.21,5.01,77.69,5.19,67.54,2.85
95,0.47500000000000003,65.77,2.39,78.34,5.05,77.76,5.23,67.56,2.85
96,0.48,65.92,2.41,78.42,5.07,77.84,5.25,67.6,2.85
97,0.485,65.96,2.41,78.5,5.11,77.92,5.25,67.64,2.85
98,0.49,66.09,2.49,78.55,5.11,77.96,5.25,67.66,2.85
99,0.495,66.21,2.51,78.73,5.19,78.01,5.28,67.66,2.85
100,0.5,66.27,2.51,78.75,5.19,78.11,5.34,67.68,2.85
