,param_estimator__C,param_estimator__gamma,param_estimator__kernel,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_specificity,std_test_specificity,mean_test_npv,std_test_npv
0,1,0.001,linear,0.7635328326145461,0.049543172194034375,0.6253949931462376,0.04680641093281777,0.6865376074070277,0.04067891546089573,0.9460122126673476,0.013864494504502115,0.901617149303409,0.011211497149006868
1,1,0.001,rbf,0.7740174634211701,0.023731520071237053,0.6866531996248467,0.02850848575469641,0.7270890024208381,0.016176283122099722,0.9443521904824662,0.008286342008108984,0.9162024829616013,0.006592852115911902
2,1,0.01,linear,0.7635328326145461,0.049543172194034375,0.6253949931462376,0.04680641093281777,0.6865376074070277,0.04067891546089573,0.9460122126673476,0.013864494504502115,0.901617149303409,0.011211497149006868
3,1,0.01,rbf,0.786315551234441,0.01918720584833825,0.6542312964432581,0.038790609006788886,0.7132318308542139,0.021136255445277544,0.9506463268645733,0.007504399165535928,0.9089334691918511,0.008684883822023154
4,10,0.001,linear,0.703485087003106,0.048768933192117093,0.5677728879590217,0.03177229467906397,0.6274063369051218,0.030219609734686483,0.9330961088596752,0.014774431364153925,0.8867265539150182,0.007312397531599282
5,10,0.001,rbf,0.8062664151441574,0.027896077103705803,0.719067888319746,0.04219292481745907,0.7591931216931217,0.025579009635860385,0.951973026698736,0.009297200139471508,0.9248573726744181,0.010093773155599391
6,10,0.01,linear,0.703485087003106,0.048768933192117093,0.5677728879590217,0.03177229467906397,0.6274063369051218,0.030219609734686483,0.9330961088596752,0.014774431364153925,0.8867265539150182,0.007312397531599282
7,10,0.01,rbf,0.8246854579370801,0.023837816310035287,0.6650385975037876,0.027088186970787482,0.7354811950101391,0.010654596308894601,0.960584494744819,0.0077869483722355195,0.9123145468779972,0.005725594517044321
8,100,0.001,linear,0.6847602513780309,0.051871562936676274,0.5857441743019984,0.04524625016120434,0.630335324511554,0.041215954527314545,0.9248168649028589,0.0164862763063374,0.890102456720683,0.010806502666115776
9,100,0.001,rbf,0.8263478649010564,0.019760618017896327,0.6962051800014428,0.04205437104976874,0.755077166694073,0.028599143302881328,0.9595894698691971,0.005398946789004218,0.919796115446416,0.010031306280233906
10,100,0.01,linear,0.6847602513780309,0.051871562936676274,0.5857441743019984,0.04524625016120434,0.630335324511554,0.041215954527314545,0.9248168649028589,0.0164862763063374,0.890102456720683,0.010806502666115776
11,100,0.01,rbf,0.8232166455448547,0.02244686171593511,0.6650602409638553,0.023357366111620186,0.7350907375286158,0.00885595631774879,0.9602522706555522,0.007098957756117944,0.9122669374244742,0.0050483671453493036
12,1000,0.001,linear,0.6847602513780309,0.051871562936676274,0.5857441743019984,0.04524625016120434,0.630335324511554,0.041215954527314545,0.9248168649028589,0.0164862763063374,0.890102456720683,0.010806502666115776
13,1000,0.001,rbf,0.7919242643976291,0.020935350716577872,0.6626145299761922,0.03034653574868867,0.720771979371807,0.015525603442428036,0.951639155217291,0.0072122208681683585,0.9109904206016244,0.00663124168147332
14,1000,0.01,linear,0.6847602513780309,0.051871562936676274,0.5857441743019984,0.04524625016120434,0.630335324511554,0.041215954527314545,0.9248168649028589,0.0164862763063374,0.890102456720683,0.010806502666115776
15,1000,0.01,rbf,0.8232166455448547,0.02244686171593511,0.6650602409638553,0.023357366111620186,0.7350907375286158,0.00885595631774879,0.9602522706555522,0.007098957756117944,0.9122669374244742,0.0050483671453493036
