,Threshold,out_LR,lost_LR,out_SVC,lost_SVC,out_MLP,lost_MLP,out_MLP_SVC,lost_MLP_SVC
81,0.405,42.16,2.9,43.31,1.63,42.73,2.37,42.9,1.88
82,0.41000000000000003,42.2,2.9,43.39,1.67,42.9,2.41,43.06,1.88
83,0.41500000000000004,42.2,2.9,43.39,1.67,42.98,2.45,43.14,1.92
84,0.42,42.2,2.9,43.39,1.67,43.02,2.45,43.18,1.92
85,0.425,42.33,3.02,43.47,1.71,43.02,2.45,43.27,1.96
86,0.43,42.33,3.02,43.59,1.71,43.06,2.45,43.31,1.96
87,0.435,42.33,3.02,43.71,1.71,43.06,2.45,43.31,1.96
88,0.44,42.33,3.02,43.84,1.8,43.1,2.45,43.35,1.96
89,0.445,42.41,3.02,43.92,1.84,43.14,2.45,43.39,1.96
90,0.45,42.41,3.02,44.0,1.88,43.14,2.45,43.39,1.96
91,0.455,42.41,3.02,44.12,1.88,43.22,2.45,43.47,1.96
92,0.46,42.41,3.02,44.24,1.92,43.27,2.49,43.47,1.96
93,0.465,42.41,3.02,44.41,1.92,43.31,2.49,43.51,1.96
94,0.47000000000000003,42.45,3.02,44.45,1.92,43.39,2.53,43.59,2.0
95,0.47500000000000003,42.49,3.02,44.49,1.92,43.39,2.53,43.63,2.0
96,0.48,42.49,3.02,44.53,1.92,43.47,2.53,43.71,2.0
97,0.485,42.53,3.02,44.61,1.92,43.47,2.53,43.71,2.0
98,0.49,42.57,3.02,44.82,1.96,43.51,2.57,43.76,2.04
99,0.495,42.57,3.02,44.86,1.96,43.51,2.57,43.76,2.04
100,0.5,42.57,3.02,44.9,1.96,43.55,2.57,43.88,2.12
