,param_C,param_solver,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_specificity,std_test_specificity,mean_test_npv,std_test_npv
0,0.1,lbfgs,0.8492552911265067,0.019977993655000883,0.8372549019607843,0.0305970324202495,0.8428765684515058,0.019778502429886678,0.8382978723404255,0.02530931330504324,0.8268389063145516,0.026850663404631946
1,0.1,liblinear,0.8433780926922285,0.021268211972067422,0.8352941176470589,0.03474518656209675,0.8387721534438249,0.019630611397685255,0.8308510638297871,0.029976601709798677,0.824250258685459,0.02898498497381183
2,0.1,newton-cholesky,0.8494279755849055,0.019820570111036172,0.8382352941176471,0.029247909588580968,0.8434705534139117,0.018866788932626923,0.8382978723404255,0.02530931330504324,0.8276417655293036,0.02567583508903317
3,1.0,lbfgs,0.8664441896224915,0.01815958357949683,0.8686274509803921,0.023894230601870466,0.8672833020526062,0.015250355978895293,0.8542553191489362,0.022964928877577548,0.8575365791483026,0.022287215905127743
4,1.0,liblinear,0.8675078536163946,0.021990985864587986,0.8705882352941176,0.024332693423511475,0.8688569264798076,0.01940954063929486,0.8553191489361701,0.026574459567652732,0.8593314717948111,0.0241048024039844
5,1.0,newton-cholesky,0.8664441896224915,0.01815958357949683,0.8686274509803921,0.023894230601870466,0.8672833020526062,0.015250355978895293,0.8542553191489362,0.022964928877577548,0.8575365791483026,0.022287215905127743
6,10.0,lbfgs,0.8812442212026033,0.01013995506977226,0.8725490196078433,0.009300816647554024,0.8768513063617052,0.008581935990779638,0.8723404255319149,0.011653671436280126,0.8631855000877848,0.009508659755984321
7,10.0,liblinear,0.8812092478782558,0.007867891127929422,0.8725490196078433,0.008768894029410909,0.8768427561710419,0.007510338424629705,0.8723404255319149,0.00890063858014972,0.8631915821915266,0.008864359786432545
8,10.0,newton-cholesky,0.8790436001724101,0.011507098192700214,0.8754901960784313,0.009091782838721247,0.8772239998107239,0.008548724732794442,0.8691489361702128,0.013706488007154384,0.8654959096472087,0.009167627410903304
9,100.0,lbfgs,0.8846087407410389,0.007472154768004638,0.8794117647058822,0.009605842128561477,0.8819952759236059,0.008229142006141063,0.875531914893617,0.007960973163348817,0.8700153097086781,0.009853663420723592
10,100.0,liblinear,0.8832329164758812,0.009762483393479808,0.8813725490196077,0.007204381596421119,0.8822498169834707,0.00525301509940663,0.873404255319149,0.012314720109351302,0.8716089474406663,0.006497568702718691
11,100.0,newton-cholesky,0.8846087407410389,0.007472154768004638,0.8794117647058822,0.009605842128561477,0.8819952759236059,0.008229142006141063,0.875531914893617,0.007960973163348817,0.8700153097086781,0.009853663420723592
12,1000.0,lbfgs,0.875580198652399,0.012048376898354514,0.8754901960784313,0.009091782838721247,0.8755078883060609,0.009492846318470596,0.8648936170212765,0.014113296980235758,0.8648961532651487,0.009634058586658572
13,1000.0,liblinear,0.8861109335356433,0.012552598374242652,0.8754901960784313,0.01143323900950058,0.8806764353262636,0.007891173660970106,0.8776595744680851,0.015416358240627058,0.8667299452204673,0.010362906805656566
14,1000.0,newton-cholesky,0.875580198652399,0.012048376898354514,0.8754901960784313,0.009091782838721247,0.8755078883060609,0.009492846318470596,0.8648936170212765,0.014113296980235758,0.8648961532651487,0.009634058586658572
