,param_estimator__C,param_estimator__gamma,param_estimator__kernel,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_specificity,std_test_specificity,mean_test_npv,std_test_npv
0,1,0.001,linear,0.8681370891236385,0.014963161540939351,0.8754901960784313,0.017970885078258208,0.8716197192605379,0.010843797354553928,0.8553191489361703,0.01973110318190572,0.8639519151840809,0.016555772347432975
1,1,0.001,rbf,0.8126617656506798,0.025282022487755303,0.8088235294117647,0.01278274981412283,0.8105636974378635,0.016248467221339245,0.7968085106382979,0.03337103647097472,0.7932778798578872,0.014283860059614614
2,1,0.01,linear,0.8681370891236385,0.014963161540939351,0.8754901960784313,0.017970885078258208,0.8716197192605379,0.010843797354553928,0.8553191489361703,0.01973110318190572,0.8639519151840809,0.016555772347432975
3,1,0.01,rbf,0.8562637485102413,0.023086027586503532,0.8441176470588235,0.030597032420249467,0.8498295870480052,0.021942639981069323,0.8457446808510639,0.028743098055545337,0.834011903690578,0.027677831667102894
4,10,0.001,linear,0.8734319021751021,0.02114614385110577,0.8823529411764707,0.01454156566097188,0.8776898329193858,0.013097007702478606,0.8606382978723405,0.026360663177369927,0.8709739675165041,0.014290363740740164
5,10,0.001,rbf,0.8409515164141649,0.02220640397476815,0.8303921568627451,0.030784938172759964,0.8351699018372797,0.018567280115534684,0.8287234042553191,0.030722402294029026,0.8191781459977037,0.025590175283529845
6,10,0.01,linear,0.8734319021751021,0.02114614385110577,0.8823529411764707,0.01454156566097188,0.8776898329193858,0.013097007702478606,0.8606382978723405,0.026360663177369927,0.8709739675165041,0.014290363740740164
7,10,0.01,rbf,0.9204216333748168,0.008530716737050217,0.9284313725490196,0.004999038738816469,0.9243665793455946,0.0031112332259446104,0.9127659574468086,0.010423360607587952,0.9216436210700382,0.0045037271032493794
8,100,0.001,linear,0.8763681481552273,0.020707019860829817,0.8843137254901962,0.010093755040183342,0.8800932350588628,0.007982177065533311,0.8638297872340426,0.026617012772759133,0.8732858218350448,0.007632459464405195
9,100,0.001,rbf,0.8690022357813006,0.018589760361120554,0.8735294117647058,0.024490188229013308,0.8708949378831361,0.012537570236593083,0.8563829787234043,0.02494901999906079,0.8626380168716998,0.02129395975028751
10,100,0.01,linear,0.8763681481552273,0.020707019860829817,0.8843137254901962,0.010093755040183342,0.8800932350588628,0.007982177065533311,0.8638297872340426,0.026617012772759133,0.8732858218350448,0.007632459464405195
11,100,0.01,rbf,0.9210147369754955,0.008063681447454028,0.9362745098039216,0.00820254927974585,0.928536884477175,0.0049638093136111835,0.9127659574468086,0.009865551590952863,0.9296696992814335,0.008108120772422713
12,1000,0.001,linear,0.8763681481552273,0.020707019860829817,0.8843137254901962,0.010093755040183342,0.8800932350588628,0.007982177065533311,0.8638297872340426,0.026617012772759133,0.8732858218350448,0.007632459464405195
13,1000,0.001,rbf,0.9032502363100743,0.017257683340800835,0.9205882352941177,0.009505254622384978,0.9117144199547127,0.009428708774543978,0.8925531914893619,0.021905596044653187,0.912052779789116,0.009261093813517994
14,1000,0.01,linear,0.8763681481552273,0.020707019860829817,0.8843137254901962,0.010093755040183342,0.8800932350588628,0.007982177065533311,0.8638297872340426,0.026617012772759133,0.8732858218350448,0.007632459464405195
15,1000,0.01,rbf,0.9209857858419364,0.007728321962534759,0.9362745098039216,0.00820254927974581,0.9285356072858401,0.005848150795332435,0.9127659574468086,0.009274253071363144,0.9296469648518315,0.008458704823572133
